"variable","date","value"
"flow_cms",2001-04-08,0.962772798
"flow_cms",2001-04-09,0.509703246
"flow_cms",2001-04-10,0.453069552
"flow_cms",2001-04-11,0.509703246
"flow_cms",2001-04-12,0.509703246
"flow_cms",2001-04-13,0.311485317
"flow_cms",2001-04-14,0.2293664607
"flow_cms",2001-04-15,0.424752705
"flow_cms",2001-04-16,2.350298301
"flow_cms",2001-04-17,0.877822257
"flow_cms",2001-04-18,0.509703246
"flow_cms",2001-04-19,0.339802164
"flow_cms",2001-04-20,0.368119011
"flow_cms",2001-04-21,0.594653787
"flow_cms",2001-04-22,0.424752705
"flow_cms",2001-04-23,0.339802164
"flow_cms",2001-04-24,0.254851623
"flow_cms",2001-04-25,0.1897228749
"flow_cms",2001-04-26,0.1670693973
"flow_cms",2001-04-27,0.1529109738
"flow_cms",2001-04-28,0.1274258115
"flow_cms",2001-04-29,0.1160990727
"flow_cms",2001-04-30,0.113267388
"flow_cms",2001-05-01,0.1104357033
"flow_cms",2001-05-02,0.1104357033
"flow_cms",2001-05-03,0.0934455951
"flow_cms",2001-05-04,0.084950541
"flow_cms",2001-05-05,0.0764554869
"flow_cms",2001-05-06,0.0707921175
"flow_cms",2001-05-07,0.0679604328
"flow_cms",2001-05-08,0.0934455951
"flow_cms",2001-05-09,0.0821188563
"flow_cms",2001-05-10,0.0651287481
"flow_cms",2001-05-11,0.0509703246
"flow_cms",2001-05-12,0.0622970634
"flow_cms",2001-05-13,0.0594653787
"flow_cms",2001-05-14,0.0453069552
"flow_cms",2001-05-15,0.0594653787
"flow_cms",2001-05-16,0.1330891809
"flow_cms",2001-05-17,0.2067129831
"flow_cms",2001-05-18,0.1444159197
"flow_cms",2001-05-19,0.1189307574
"flow_cms",2001-05-20,0.0792871716
"flow_cms",2001-05-21,0.0736238022
"flow_cms",2001-05-22,0.0764554869
"flow_cms",2001-05-23,0.0707921175
"flow_cms",2001-05-24,0.0594653787
"flow_cms",2001-05-25,0.056633694
"flow_cms",2001-05-26,0.0707921175
"flow_cms",2001-05-27,0.0906139104
"flow_cms",2001-05-28,0.0792871716
