"id","name","topo","hydro","muid","lu_mgt","soil_plant_init","surf_stor","snow","field","hyd_grp","area_ha","slp"
"    2716","hru2716","topohru2716","           hyd2716",172187,"          SC_NTcc","  soilnut_100-110","             null","          snow001","             null","A",0.04,0.02005
"    2717","hru2717","topohru2717","           hyd2717",172136,"          SC_NTcc","   soilnut_90-100","             null","          snow001","             null","A",0.43,0.02588
"    2718","hru2718","topohru2718","           hyd2718",167956,"     SC_NT_tile_B","    soilnut_30-40","             null","          snow001","             null","C",2.89,0.0204
"    2719","hru2719","topohru2719","           hyd2719",172174,"        SC_RotT_B","  soilnut_140-150","             null","          snow001","             null","A",0.26,0.03191
"    2720","hru2720","topohru2720","           hyd2720",172187,"      CS_NT_GW_MS","    soilnut_50-60","             null","          snow001","             null","A",0.41,0.03708
"    2721","hru2721","topohru2721","           hyd2721",167956,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.51,0
"    2722","hru2722","topohru2722","           hyd2722",172157,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",0.03,0
"    2723","hru2723","topohru2723","           hyd2723",172174,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.08,0.03712
"    2724","hru2724","topohru2724","           hyd2724",167956,"         past_lum","       soilplant1","             null","          snow001","             null","C",1.41,0.01177
"    2725","hru2725","topohru2725","           hyd2725",172187,"         past_lum","       soilplant1","             null","          snow001","             null","A",0.04,0.04827
"    2726","hru2726","topohru2726","           hyd2726",172151,"          SC_NT_B","    soilnut_40-50","             null","          snow001","             null","B",0.09,0.04048
"    2727","hru2727","topohru2727","           hyd2727",172142,"            SC_FT","    soilnut_40-50","             null","          snow001","             null","A",0.1,0.01038
"    2728","hru2728","topohru2728","           hyd2728",172136,"      CS_NT_GW_MS","    soilnut_30-40","             null","          snow001","             null","A",0.45,0.04895
"    2729","hru2729","topohru2729","           hyd2729",172174,"             CSWS","  soilnut_120-130","             null","          snow001","             null","A",0.16,0.03039
"    2730","hru2730","topohru2730","           hyd2730",167956,"     CS_RotT_tile","    soilnut_20-30","             null","          snow001","             null","C",7.15,0.01221
"    2731","hru2731","topohru2731","           hyd2731",172142,"          SC_NT_B","    soilnut_20-30","             null","          snow001","             null","A",0.24,0.00969
"    2732","hru2732","topohru2732","           hyd2732",172136,"        SC_RotT_B","    soilnut_20-30","             null","          snow001","             null","A",1.06,0.0152
"    2733","hru2733","topohru2733","           hyd2733",172174,"            SC_FT","    soilnut_10-20","             null","          snow001","             null","A",0.62,0.01729
"    2734","hru2734","topohru2734","           hyd2734",167956,"   CS_NTcc_tile_B","    soilnut_20-30","             null","          snow001","             null","C",0.66,0.01777
"    2735","hru2735","topohru2735","           hyd2735",172136,"         urml_lum","       soilplant1","             null","          snow001","             null","A",0.31,0.04238
"    2736","hru2736","topohru2736","           hyd2736",167956,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.06,0.016
